100: x=0.62785 y=0.62225 w=0.00748 h=0.04850 area=1670 aspect=3.70
101: x=0.33368 y=0.30734 w=0.00607 h=0.00951 area=1665 aspect=0.89
102: x=0.50947 y=0.75591 w=0.00597 h=0.00989 area=1658 aspect=0.95
103: x=0.66544 y=0.63640 w=0.00564 h=0.00875 area=1648 aspect=0.88
104: x=0.53946 y=0.30804 w=0.00575 h=0.00875 area=1645 aspect=0.87
105: x=0.53110 y=0.44529 w=0.00597 h=0.00932 area=1643 aspect=0.89
106: x=0.58784 y=0.42208 w=0.00542 h=0.00856 area=1620 aspect=0.90
107: x=0.45299 y=0.67882 w=0.00607 h=0.01008 area=1602 aspect=0.95
108: x=0.62470 y=0.51213 w=0.00521 h=0.00761 area=1594 aspect=0.83
109: x=0.23424 y=0.65391 w=0.00358 h=0.01560 area=1593 aspect=2.48
110: x=0.36803 y=0.43878 w=0.00597 h=0.00875 area=1589 aspect=0.84
111: x=0.66773 y=0.48281 w=0.00575 h=0.00894 area=1589 aspect=0.89
112: x=0.69454 y=0.45183 w=0.00618 h=0.00875 area=1587 aspect=0.81
113: x=0.49586 y=0.73127 w=0.00998 h=0.02872 area=1585 aspect=1.64
114: x=0.65423 y=0.47972 w=0.00553 h=0.00761 area=1577 aspect=0.78
115: x=0.30531 y=0.24110 w=0.00575 h=0.00913 area=1560 aspect=0.91
116: x=0.68215 y=0.57293 w=0.00597 h=0.00799 area=1559 aspect=0.76
117: x=0.47375 y=0.77354 w=0.00607 h=0.00951 area=1541 aspect=0.89
118: x=0.69018 y=0.40544 w=0.00542 h=0.00780 area=1537 aspect=0.82
119: x=0.51002 y=0.65785 w=0.01931 h=0.03119 area=1533 aspect=0.92
120: x=0.60810 y=0.27319 w=0.01334 h=0.01731 area=1532 aspect=0.74
121: x=0.57120 y=0.69114 w=0.00564 h=0.00799 area=1531 aspect=0.81
122: x=0.36104 y=0.41823 w=0.01041 h=0.01103 area=1524 aspect=0.60
123: x=0.32076 y=0.53041 w=0.00575 h=0.00894 area=1524 aspect=0.89
124: x=0.66251 y=0.23890 w=0.00564 h=0.00742 area=1508 aspect=0.75
125: x=0.44244 y=0.31354 w=0.00521 h=0.00856 area=1507 aspect=0.94
126: x=0.24251 y=0.43243 w=0.01139 h=0.01350 area=1506 aspect=0.68
127: x=0.51605 y=0.60559 w=0.00575 h=0.00970 area=1505 aspect=0.96
128: x=0.02079 y=0.16298 w=0.01074 h=0.01236 area=1504 aspect=0.66
129: x=0.36583 y=0.56458 w=0.00564 h=0.00989 area=1501 aspect=1.00
130: x=0.32419 y=0.72324 w=0.00597 h=0.00913 area=1492 aspect=0.87
131: x=0.69563 y=0.67431 w=0.00542 h=0.00818 area=1486 aspect=0.86
132: x=0.56203 y=0.29741 w=0.00575 h=0.00856 area=1484 aspect=0.85
133: x=0.45844 y=0.57715 w=0.00629 h=0.00837 area=1482 aspect=0.76
134: x=0.34453 y=0.26473 w=0.00542 h=0.00875 area=1477 aspect=0.92
135: x=0.51633 y=0.70580 w=0.00618 h=0.00894 area=1473 aspect=0.82
